Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj
1980-12-12,0.1004534438252449,0.1008901736908808,0.1004534438252449,0.1004534438252449,469033600,0.0,0.0,
1980-12-15,0.0956494651425123,0.0956494651425123,0.095212735235691,0.095212735235691,175884800,0.0,0.0,
1980-12-16,0.0886610606523419,0.0886610606523419,0.0882243365049362,0.0882243365049362,105728000,0.0,0.0,
1980-12-17,0.090407945215702,0.0908446750799829,0.090407945215702,0.090407945215702,86441600,0.0,0.0,
1980-12-18,0.0930290818214416,0.0934658057966156,0.0930290818214416,0.0930290818214416,73449600,0.0,0.0,
1980-12-19,0.0987065434455871,0.0991432733440543,0.0987065434455871,0.0987065434455871,48630400,0.0,0.0,
1980-12-22,0.1035105735063552,0.1039480849035131,0.1035105735063552,0.1035105735063552,37363200,0.0,0.0,
1980-12-23,0.1078785955905914,0.1083153254938969,0.1078785955905914,0.1078785955905914,46950400,0.0,0.0,
1980-12-24,0.1135560348629951,0.1139927647106009,0.1135560348629951,0.1135560348629951,48003200,0.0,0.0,
1980-12-26,0.1240382865071296,0.1244750164388231,0.1240382865071296,0.1240382865071296,55574400,0.0,0.0,
1980-12-29,0.1257851868867874,0.1262219167918,0.1257851868867874,0.1257851868867874,93161600,0.0,0.0,
1980-12-30,0.1231648351094182,0.1231648351094182,0.1227281168103218,0.1227281168103218,68880000,0.0,0.0,
1980-12-31,0.1196710385920207,0.1196710385920207,0.1192343086004257,0.1192343086004257,35750400,0.0,0.0,
1981-01-02,0.1205444782972336,0.121417938217997,0.1205444782972336,0.1205444782972335,21660800,0.0,0.0,
1981-01-05,0.1183608497863295,0.1183608497863295,0.1179241314530372,0.1179241314530372,35728000,0.0,0.0,
1981-01-06,0.1131193631740844,0.1131193631740844,0.1126826331019401,0.1126826331019401,45158400,0.0,0.0,
1981-01-07,0.1083153254938969,0.1083153254938969,0.1078785955905914,0.1078785955905914,55686400,0.0,0.0,
1981-01-08,0.1061316752672827,0.1061316752672827,0.1056949570775032,0.1056949570775032,39827200,0.0,0.0,
1981-01-09,0.1113724336028098,0.1118091635928203,0.1113724336028098,0.1113724336028099,21504000,0.0,0.0,
1981-01-12,0.1113724429797964,0.1113724429797964,0.1104989945888519,0.1104989945888519,23699200,0.0,0.0,
1981-01-13,0.1070051408690824,0.1070051408690824,0.1065684109926223,0.1065684109926223,23049600,0.0,0.0,
1981-01-14,0.1070051789283752,0.1074419089601702,0.1070051789283752,0.1070051789283752,14291200,0.0,0.0,
1981-01-15,0.1091888025403022,0.1100622508222079,0.1091888025403022,0.1091888025403022,14067200,0.0,0.0,
1981-01-16,0.1087520636605114,0.1087520636605114,0.1083153337240219,0.1083153337240219,13395200,0.0,0.0,
1981-01-19,0.1148662492632865,0.1153029792497444,0.1148662492632865,0.1148662492632865,41574400,0.0,0.0,
1981-01-20,0.1118091635928203,0.1118091635928203,0.1113724336028098,0.1113724336028099,30083200,0.0,0.0,
1981-01-21,0.1135560348629951,0.1144294828955943,0.1135560348629951,0.1135560348629951,15904000,0.0,0.0,
1981-01-22,0.1148662492632865,0.1157397092362023,0.1148662492632865,0.1148662492632865,35548800,0.0,0.0,
1981-01-23,0.1148662261271876,0.1153029560256803,0.1144294962286949,0.1144294962286949,11222400,0.0,0.0,
1981-01-26,0.1131193631740844,0.1131193631740844,0.1126826331019401,0.1126826331019401,24640000,0.0,0.0,
1981-01-27,0.1126825675557716,0.1126825675557716,0.1118091195821762,0.1118091195821762,23699200,0.0,0.0,
1981-01-28,0.1087520636605114,0.1087520636605114,0.1083153337240219,0.1083153337240219,28156800,0.0,0.0,
1981-01-29,0.1048215098344274,0.1048215098344274,0.1043847799301147,0.1043847799301147,43904000,0.0,0.0,
1981-01-30,0.0995800032425215,0.0995800032425215,0.0987065434455871,0.0987065434455871,46188800,0.0,0.0,
1981-02-02,0.0934658057966156,0.0934658057966156,0.0930290818214416,0.0930290818214416,23766400,0.0,0.0,
1981-02-03,0.0965229421854019,0.0969596663652551,0.0965229421854019,0.0965229421854019,19152000,0.0,0.0,
1981-02-04,0.1000167354941368,0.1004534537402651,0.1000167354941368,0.1000167354941368,27865600,0.0,0.0,
1981-02-05,0.1000167354941368,0.1008901836490074,0.1000167354941368,0.1000167354941368,7929600,0.0,0.0,
1981-02-06,0.1004534438252449,0.1008901736908808,0.1004534438252449,0.1004534438252449,13865600,0.0,0.0,
1981-02-09,0.0960861892180266,0.0960861892180266,0.095212735235691,0.095212735235691,16755200,0.0,0.0,
1981-02-10,0.095212735235691,0.0956494651425123,0.095212735235691,0.095212735235691,18345600,0.0,0.0,
1981-02-11,0.0925923893103078,0.0925923893103078,0.0921556651592254,0.0921556651592254,13843200,0.0,0.0,
1981-02-12,0.0917189178765414,0.0917189178765414,0.0912814065814018,0.0912814065814018,14560000,0.0,0.0,
1981-02-13,0.0899712219732432,0.0899712219732432,0.0890977680683136,0.0890977680683136,11155200,0.0,0.0,
1981-02-17,0.0912814065814018,0.0917189178765414,0.0912814065814018,0.0912814065814018,12275200,0.0,0.0,
1981-02-18,0.095212735235691,0.0960861892180266,0.095212735235691,0.095212735235691,19241600,0.0,0.0,
1981-02-19,0.0899712061909307,0.0899712061909307,0.0895344763994216,0.0895344763994216,22310400,0.0,0.0,
1981-02-20,0.0851672208715898,0.0851672208715898,0.0847304910421371,0.0847304910421371,24371200,0.0,0.0,
1981-02-23,0.0860406905412674,0.0864774204807309,0.0860406905412674,0.0860406905412674,14112000,0.0,0.0,
1981-02-24,0.0838570520956609,0.0838570520956609,0.08298359811306,0.08298359811306,16979200,0.0,0.0,
1981-02-25,0.0882243365049362,0.0886610606523419,0.0882243365049362,0.0882243365049362,19488000,0.0,0.0,
1981-02-26,0.0895344763994216,0.0899712061909307,0.0895344763994216,0.0895344763994216,10841600,0.0,0.0,
1981-02-27,0.0925923734903335,0.0934658274745714,0.0925923734903335,0.0925923734903335,14761600,0.0,0.0,
1981-03-02,0.0930290818214416,0.0934658057966156,0.0930290818214416,0.0930290818214416,11760000,0.0,0.0,
1981-03-03,0.092155612053029,0.092155612053029,0.0917188823223113,0.0917188823223114,16172800,0.0,0.0,
1981-03-04,0.0912814448538513,0.0912814448538513,0.0908447206020355,0.0908447206020355,13708800,0.0,0.0,
1981-03-05,0.0908446750799829,0.0908446750799829,0.090407945215702,0.090407945215702,5376000,0.0,0.0,
1981-03-06,0.0904079301511343,0.0904079301511343,0.0895344763994216,0.0895344763994216,11603200,0.0,0.0,
1981-03-09,0.0829835914709008,0.0829835914709008,0.0825468674302101,0.0825468674302101,15321600,0.0,0.0,
1981-03-10,0.0790522777909051,0.0790522777909051,0.078615553677082,0.078615553677082,28380800,0.0,0.0,
1981-03-11,0.076431885157452,0.076431885157452,0.0755584314465522,0.0755584314465522,29859200,0.0,0.0,
1981-03-12,0.078615553677082,0.0790522777909051,0.078615553677082,0.078615553677082,59248000,0.0,0.0,
1981-03-13,0.078178816384159,0.078178816384159,0.0777420923113823,0.0777420923113823,231302400,0.0,0.0,
1981-03-16,0.0807999745011329,0.0816734285748512,0.0807999745011329,0.0807999745011329,37228800,0.0,0.0,
1981-03-17,0.0847304910421371,0.0856039448697364,0.0847304910421371,0.0847304910421371,43747200,0.0,0.0,
1981-03-18,0.0899712070822715,0.0908446608426375,0.0899712070822715,0.0899712070822715,36937600,0.0,0.0,
1981-03-19,0.0895344921051252,0.0895344921051252,0.0890977680683136,0.0890977680683136,37811200,0.0,0.0,
1981-03-20,0.0899712070822715,0.0908446608426375,0.0899712070822715,0.0899712070822715,14604800,0.0,0.0,
1981-03-23,0.0934658497571945,0.0943393039496672,0.0934658497571945,0.0934658497571945,22019200,0.0,0.0,
1981-03-24,0.0934658057966156,0.0934658057966156,0.0930290818214416,0.0930290818214416,28156800,0.0,0.0,
1981-03-25,0.0921556477765545,0.0921556477765545,0.0912814065814018,0.0912814065814018,7056000,0.0,0.0,
1981-03-26,0.0899712061909307,0.0899712061909307,0.0895344763994216,0.0895344763994216,12275200,0.0,0.0,
1981-03-27,0.0869141378478204,0.0869141378478204,0.0864774137735366,0.0864774137735366,12252800,0.0,0.0,
1981-03-30,0.0864774137735366,0.0873508677534112,0.0864774137735366,0.0864774137735366,9900800,0.0,0.0,
1981-03-31,0.0864774138389527,0.0864774138389527,0.0856039598584175,0.0856039598584175,15993600,0.0,0.0,
1981-04-01,0.0851672208715898,0.0851672208715898,0.0847304910421371,0.0847304910421371,34070400,0.0,0.0,
1981-04-02,0.0921556651592254,0.0925923893103078,0.0921556651592254,0.0921556651592254,31404800,0.0,0.0,
1981-04-03,0.0925923734903335,0.093029103398106,0.0925923734903335,0.0925923734903335,16486400,0.0,0.0,
1981-04-06,0.0912814448538513,0.0912814448538513,0.0908447206020355,0.0908447206020355,22803200,0.0,0.0,
1981-04-07,0.0904079310468017,0.0904079310468017,0.0899712070822715,0.0899712070822715,10684800,0.0,0.0,
1981-04-08,0.0943393036723136,0.0952127578622185,0.0943393036723136,0.0943393036723136,21952000,0.0,0.0,
1981-04-09,0.0960861966013908,0.0965229265417709,0.0960861966013908,0.0960861966013908,12499200,0.0,0.0,
1981-04-10,0.0973963588476181,0.0978330828591926,0.0973963588476181,0.0973963588476181,33465600,0.0,0.0,
1981-04-13,0.0973963588476181,0.0978330828591926,0.0973963588476181,0.0973963588476181,16060800,0.0,0.0,
1981-04-14,0.0973963588476181,0.0978330828591926,0.0973963588476181,0.0973963588476181,6652800,0.0,0.0,
